seed,missing_rate,statistic,value
10,0.2,theta_h,55.53651135725611
10,0.2,theta_l,47.90416864801098
10,0.2,tajimas_d,0.002815412428308407
10,0.3,pi,39.67777569282272
10,0.3,theta_w,40.296725317656026
10,0.3,theta_h,55.37650660424539
10,0.3,theta_l,47.52714114853406
10,0.3,tajimas_d,-0.053392479856004905
10,0.4,pi,39.26861440894983
10,0.4,theta_w,39.274339935872824
10,0.4,theta_h,51.77815836086967
10,0.4,theta_l,45.52338638490974
10,0.4,tajimas_d,-0.0005139049748963691
10,0.5,pi,38.89036857951012
10,0.5,theta_w,38.06994616308351
10,0.5,theta_h,53.06456314992822
10,0.5,theta_l,45.97746586471917
10,0.5,tajimas_d,0.07765647485670092
10,0.6,pi,39.54384440683543
10,0.6,theta_w,36.023204682372075
10,0.6,theta_h,49.511268155682274
10,0.6,theta_l,44.527556281258846
10,0.6,tajimas_d,0.3618777831263241
11,0.0,pi,41.76282828282829
11,0.0,theta_w,40.56107542564126
11,0.0,theta_h,31.36848484848485
11,0.0,theta_l,36.56565656565657
11,0.0,tajimas_d,0.09945007580033889
11,0.05,pi,41.70079036767776
11,0.05,theta_w,40.3846942670966
11,0.05,theta_h,31.30337234519592
11,0.05,theta_l,36.50208135643683
11,0.05,tajimas_d,0.10989225592091532
11,0.1,pi,42.008976549344176
11,0.1,theta_w,40.83409877466524
11,0.1,theta_h,31.327717075790837
11,0.1,theta_l,36.668346812567506
11,0.1,tajimas_d,0.09756546864165334
11,0.2,pi,41.92274191507103
11,0.2,theta_w,40.15983080296817
11,0.2,theta_h,31.17595871177275
11,0.2,theta_l,36.54935031342189
11,0.2,tajimas_d,0.15036294125103722
11,0.3,pi,41.6130747754963
11,0.3,theta_w,41.16419099299508
11,0.3,theta_h,32.51090115134196
11,0.3,theta_l,37.061987963419135
11,0.3,tajimas_d,0.03789731297992206
11,0.4,pi,41.62152749703236
11,0.4,theta_w,40.97528356151082
11,0.4,theta_h,31.501935279545688
11,0.4,theta_l,36.56173138828902
11,0.4,tajimas_d,0.055713949426177536
11,0.5,pi,42.58512473374138
11,0.5,theta_w,42.37335285872814
11,0.5,theta_h,31.852816494038677
11,0.5,theta_l,37.21897061389003
11,0.5,tajimas_d,0.018063007350361943
11,0.6,pi,42.37955179806336
11,0.6,theta_w,42.91502108901366
11,0.6,theta_h,32.58622804293695
11,0.6,theta_l,37.482889920500156
11,0.6,tajimas_d,-0.04615892227489473
12,0.0,pi,45.97575757575758
12,0.0,theta_w,41.33366733851062
12,0.0,theta_h,54.02424242424242
12,0.0,theta_l,50.0
12,0.0,tajimas_d,0.3770996405711523
12,0.05,pi,45.96582457591779
12,0.05,theta_w,41.570880012706695
12,0.05,theta_h,53.893703263317356
12,0.05,theta_l,49.92976391961757
12,0.05,tajimas_d,0.356817022920743
12,0.1,pi,46.00416113218734
12,0.1,theta_w,41.60271145103064
12,0.1,theta_h,53.781278421459035
12,0.1,theta_l,49.89271977682318
12,0.1,tajimas_d,0.3587024911725003
12,0.2,pi,46.04186579579247
12,0.2,theta_w,41.38406925246205
12,0.2,theta_h,54.02206546795849
12,0.2,theta_l,50.03196563187547
12,0.2,tajimas_d,0.38585070163533913
12,0.3,pi,46.223296631643585
12,0.3,theta_w,41.73857049683795
12,0.3,theta_h,54.67383876973482
12,0.3,theta_l,50.4485677006892
12,0.3,tajimas_d,0.3736249546117319
12,0.4,pi,46.39657215671303
12,0.4,theta_w,42.7115108302398
12,0.4,theta_h,55.461277207516716
12,0.4,theta_l,50.928924682114875
12,0.4,tajimas_d,0.3046049740690962
12,0.5,pi,47.05554395253195
12,0.5,theta_w,44.019272265807345
12,0.5,theta_h,53.82925270144907
12,0.5,theta_l,50.44239832699051
12,0.5,tajimas_d,0.2491514652531484
12,0.6,pi,46.29576384480552
12,0.6,theta_w,44.649338547755676
12,0.6,theta_h,53.89403942079275
12,0.6,theta_l,50.09490163279914
12,0.6,tajimas_d,0.13677710047730063
13,0.0,pi,38.46161616161616
13,0.0,theta_w,42.10625925137998
13,0.0,theta_h,29.84141414141414
13,0.0,theta_l,34.15151515151515
13,0.0,tajimas_d,-0.2907345105704871
13,0.05,pi,38.58021153009172
13,0.05,theta_w,42.17748659072657
13,0.05,theta_h,29.87453330330828
13,0.05,theta_l,34.2273724167
13,0.05,tajimas_d,-0.2880700365136031
13,0.1,pi,38.239371685168145
13,0.1,theta_w,42.19719621184754
13,0.1,theta_h,29.808347273443363
13,0.1,theta_l,34.023859479305756
13,0.1,tajimas_d,-0.3181052257969492
13,0.2,pi,38.17306223186913
13,0.2,theta_w,42.19442719504454
13,0.2,theta_h,30.067177733553066
13,0.2,theta_l,34.1201199827111
13,0.2,tajimas_d,-0.32686275641485907
13,0.3,pi,37.975076052848564
13,0.3,theta_w,41.49153825622105
13,0.3,theta_h,31.011271121928672
13,0.3,theta_l,34.49317358738861
13,0.3,tajimas_d,-0.2943978270787719
13,0.4,pi,38.432214249663645
13,0.4,theta_w,42.27563397451929
13,0.4,theta_h,29.9702127640598
13,0.4,theta_l,34.20121350686172
13,0.4,tajimas_d,-0.3214261663840238
13,0.5,pi,37.85243053043971
13,0.5,theta_w,43.151271810657605
13,0.5,theta_h,30.35573902995732
13,0.5,theta_l,34.10408478019853
13,0.5,tajimas_d,-0.4440587271460945
13,0.6,pi,36.84878370136012
13,0.6,theta_w,40.838010589559154
13,0.6,theta_h,28.619249721711622
13,0.6,theta_l,32.734016711535865
13,0.6,tajimas_d,-0.3624751214681608
14,0.0,pi,40.38767676767677
14,0.0,theta_w,40.7542234038586
14,0.0,theta_h,34.339595959595954
14,0.0,theta_l,37.36363636363637
14,0.0,tajimas_d,-0.030192099361806328
14,0.05,pi,40.523776535972125
14,0.05,theta_w,40.596441180529446
14,0.05,theta_h,34.49094398288668
14,0.05,theta_l,37.5073602594294
14,0.05,tajimas_d,-0.006038756429520037
14,0.1,pi,40.16063161077624
14,0.1,theta_w,41.0055930477396
14,0.1,theta_h,34.49011404013125
14,0.1,theta_l,37.32537282545375
14,0.1,tajimas_d,-0.06983685869761132
14,0.2,pi,40.62450981056046
14,0.2,theta_w,41.5676459985121
14,0.2,theta_h,34.84236857656182
14,0.2,theta_l,37.73343919356114
14,0.2,tajimas_d,-0.07775650811100235
14,0.3,pi,40.70256351701279
14,0.3,theta_w,40.88670350138182
14,0.3,theta_h,34.67728817771247
14,0.3,theta_l,37.68992584736262
14,0.3,tajimas_d,-0.015646823817276344
14,0.4,pi,41.09716230043423
14,0.4,theta_w,41.501595926838185
14,0.4,theta_h,33.924810903841774
14,0.4,theta_l,37.510986602138
14,0.4,tajimas_d,-0.03445182106873648
14,0.5,pi,40.64659648265118
14,0.5,theta_w,40.72959266376105
14,0.5,theta_h,35.174187336513626
14,0.5,theta_l,37.9103919095824
14,0.5,tajimas_d,-0.007346771992941919
14,0.6,pi,39.74037188060765
14,0.6,theta_w,40.96417629410361
14,0.6,theta_h,36.3287522890444
14,0.6,theta_l,38.03456208482603
14,0.6,tajimas_d,-0.11057057722535699
15,0.0,pi,37.354949494949494
15,0.0,theta_w,38.24329968703319
15,0.0,theta_h,40.160202020202014
15,0.0,theta_l,38.75757575757575
15,0.0,tajimas_d,-0.07788469109157674
15,0.05,pi,37.205217367828475
15,0.05,theta_w,38.015016708238605
15,0.05,theta_h,39.790124901903496
15,0.05,theta_l,38.49767113486598
15,0.05,tajimas_d,-0.07169825455401703
15,0.1,pi,37.25644166616605
15,0.1,theta_w,38.05740013126214
15,0.1,theta_h,40.339669509688186
15,0.1,theta_l,38.79805558792711
15,0.1,tajimas_d,-0.07124652896355556
15,0.2,pi,37.2730378655781
15,0.2,theta_w,36.96829666878215
15,0.2,theta_h,40.60677102220731
15,0.2,theta_l,38.9399044438927
15,0.2,tajimas_d,0.02822022087654622
15,0.3,pi,37.42963047402199
15,0.3,theta_w,38.02727949206613
15,0.3,theta_h,38.601647042473964
15,0.3,theta_l,38.01563875824798
15,0.3,tajimas_d,-0.05451508349988895
15,0.4,pi,37.5481348335989
15,0.4,theta_w,37.95547665904929
15,0.4,theta_h,39.583282631370196
15,0.4,theta_l,38.565708732484545
15,0.4,tajimas_d,-0.03784369067682536
15,0.5,pi,36.974274747617066
15,0.5,theta_w,36.95469937854724
15,0.5,theta_h,39.7744584159402
15,0.5,theta_l,38.37436658177863
15,0.5,tajimas_d,0.0019045745155811765
15,0.6,pi,37.673266366810246
15,0.6,theta_w,35.967143591077864
15,0.6,theta_h,37.57620590326307
15,0.6,theta_l,37.62473613503667
15,0.6,tajimas_d,0.17536810811207756
16,0.0,pi,37.70464646464646
16,0.0,theta_w,36.698115861294475
16,0.0,theta_h,45.81050505050506
16,0.0,theta_l,41.757575757575765
16,0.0,tajimas_d,0.09188746870000992
16,0.05,pi,37.806313685093755
16,0.05,theta_w,36.8617670079847
16,0.05,theta_h,46.08556656997973
16,0.05,theta_l,41.94594012753675
16,0.05,tajimas_d,0.08623087130829994
16,0.1,pi,37.70245479486073
16,0.1,theta_w,36.87035891827187
16,0.1,theta_h,45.752240989234124
16,0.1,theta_l,41.72734789204743
16,0.1,tajimas_d,0.076344246893998
16,0.2,pi,37.60824861257295
16,0.2,theta_w,36.907720502329724
16,0.2,theta_h,45.930747856025754
16,0.2,theta_l,41.76949823429935
16,0.2,tajimas_d,0.06487162946508594
16,0.3,pi,37.72056889242451
16,0.3,theta_w,37.64759881325592
16,0.3,theta_h,45.78454068014694
16,0.3,theta_l,41.75255478628573
16,0.3,tajimas_d,0.006728182947904531
16,0.4,pi,37.21408668102417
16,0.4,theta_w,36.655061430002355
16,0.4,theta_h,45.85380234040585
16,0.4,theta_l,41.53394451071502
16,0.4,tajimas_d,0.053722934048510064
16,0.5,pi,37.75062618563438
16,0.5,theta_w,38.50146460048109
16,0.5,theta_h,45.91875607066483
16,0.5,theta_l,41.8346911281496
16,0.5,tajimas_d,-0.07025849820245816
16,0.6,pi,36.415800862658465
16,0.6,theta_w,36.212314536117745
16,0.6,theta_h,45.163866098548915
16,0.6,theta_l,40.78983348060369
16,0.6,tajimas_d,0.020728440739775637
17,0.0,pi,36.36121212121212
17,0.0,theta_w,40.174779469206584
17,0.0,theta_h,50.103434343434344
17,0.0,theta_l,43.23232323232324
17,0.0,tajimas_d,-0.3185676862719938
17,0.05,pi,36.192947655366524
17,0.05,theta_w,40.38727307048768
17,0.05,theta_h,50.33108443619227
17,0.05,theta_l,43.262016045779404
17,0.05,tajimas_d,-0.35022053612236853
17,0.1,pi,36.50671576461805
17,0.1,theta_w,40.020976768289486
17,0.1,theta_h,50.18561968536809
17,0.1,theta_l,43.34616772499306
17,0.1,tajimas_d,-0.2974806715041163
17,0.2,pi,36.99815176199818
17,0.2,theta_w,39.93981547880688
17,0.2,theta_h,49.82869447464652
17,0.2,theta_l,43.413423118322356
17,0.2,tajimas_d,-0.25214582794934687
17,0.3,pi,36.61964950646952
17,0.3,theta_w,40.071837768119565
17,0.3,theta_h,51.065761352760425
17,0.3,theta_l,43.84270542961497
17,0.3,tajimas_d,-0.29931164619636025
17,0.4,pi,35.79880398455206
17,0.4,theta_w,41.03734386197229
17,0.4,theta_h,51.52709190657277
17,0.4,theta_l,43.66294794556242
17,0.4,tajimas_d,-0.4508392191451053
17,0.5,pi,36.02533546556584
17,0.5,theta_w,39.522853160512874
17,0.5,theta_h,51.369986469244324
17,0.5,theta_l,43.697660967405085
17,0.5,tajimas_d,-0.318191035714726
17,0.6,pi,35.71304410605194
17,0.6,theta_w,40.182849527182285
17,0.6,theta_h,49.61481212220028
17,0.6,theta_l,42.66392811412611
17,0.6,tajimas_d,-0.4118926194096645
18,0.0,pi,32.065252525252525
18,0.0,theta_w,33.607748209817046
18,0.0,theta_h,31.389292929292928
18,0.0,theta_l,31.727272727272727
18,0.0,tajimas_d,-0.15348386833505984
18,0.05,pi,32.183941913372344
18,0.05,theta_w,33.94320834326356
18,0.05,theta_h,31.39248252576094
18,0.05,theta_l,31.78821221956664
18,0.05,tajimas_d,-0.17415816368314402
18,0.1,pi,31.96517100001831
18,0.1,theta_w,33.50817110879638
18,0.1,theta_h,31.693452780857328
18,0.1,theta_l,31.82931189043782
18,0.1,tajimas_d,-0.15541990729416763
18,0.2,pi,31.755898512639195
18,0.2,theta_w,32.92450581329629
18,0.2,theta_h,29.276621773350424
18,0.2,theta_l,30.51626014299481
18,0.2,tajimas_d,-0.12120566459936098
18,0.3,pi,32.2312140305513
18,0.3,theta_w,33.44495055737328
18,0.3,theta_h,30.824689215025113
18,0.3,theta_l,31.52795162278821
18,0.3,tajimas_d,-0.12551903598948247
18,0.4,pi,32.2392559938331
18,0.4,theta_w,33.29141151296304
18,0.4,theta_h,31.863638087784572
18,0.4,theta_l,32.05144704080883
18,0.4,tajimas_d,-0.11113855866484323
18,0.5,pi,32.34207286665782
18,0.5,theta_w,33.229534237477765
18,0.5,theta_h,31.127844265340357
18,0.5,theta_l,31.73495856599909
18,0.5,tajimas_d,-0.09579547164808642
18,0.6,pi,32.20610429117366
18,0.6,theta_w,35.22372928078396
18,0.6,theta_h,32.951582686654035
18,0.6,theta_l,32.57884348891385
18,0.6,tajimas_d,-0.3175132875162315
19,0.0,pi,57.07030303030303
