window_start,window_stop,garud_h1,garud_h12,garud_h123,garud_h2h1
185.0,100185.0,0.0010976907769910736,0.0011569253551760891,0.00127539451154612,0.973018549747049
100185.0,200185.0,0.001089360914433806,0.0011634041371650753,0.0012966819380813603,0.9575191163976213
200185.0,300185.0,0.0010921375352862287,0.0011513721134712442,0.001269841269841275,0.9728813559322035
300185.0,400185.0,0.001395251978342366,0.0014544865565273815,0.0015729557128974123,0.9787728026533998
400185.0,500185.0,0.0016553287981859387,0.001758989310009716,0.0019218844000185086,0.9452054794520548
500185.0,600185.0,0.0028314591142579474,0.0029129066592623438,0.0030535887824517556,0.9802239110893194
600185.0,700185.0,0.002977694479152205,0.003214632791892267,0.0034811883937248367,0.9602144688787008
700185.0,800185.0,0.0028002221296681983,0.0030371604424082603,0.003288907399694576,0.9576929433151545
800185.0,900185.0,0.00212156971632191,0.002240038872691941,0.0024177426072469876,0.9441596684480316
900185.0,1000185.0,0.0027712989957887975,0.0029337313156555197,0.003129945855893384,0.9695666694497789
1000185.0,1100185.0,0.0019552038502475763,0.0020588643620713535,0.002221759452080146,0.9536094674556213
1100185.0,1200185.0,0.0012161599333611042,0.0012902031560923736,0.0014234809570086585,0.9619482496194828
1200185.0,1300185.0,0.0024392614188531825,0.0026761997315932445,0.003150076357073368,0.9514323657749938
1300185.0,1400185.0,0.0012527187745846667,0.001326761997315936,0.001460039798232221,0.9630587366087922
1400185.0,1500185.0,0.0028138738488592695,0.0029527048914803995,0.003137812948308573,0.9629964641065701
1500185.0,1600185.0,0.0017735665694849356,0.0018328011476699511,0.001951270304039982,0.9833007175472929
1600185.0,1700185.0,0.0015317691702531415,0.0016872599379888073,0.0018834744782266712,0.9226586102719037
1700185.0,1800185.0,0.0014188532555879504,0.0014928964783192198,0.0016261742792355047,0.9673842139595565
1800185.0,1900185.0,0.00127539451154612,0.0014373640612707717,0.0016335786015086355,0.9288824383164009
1900185.0,2000185.0,0.0012797908278957873,0.0013390254060808029,0.0014574945624508337,0.9768577110829868
2000185.0,2100185.0,0.0010590494701281964,0.001118284048313212,0.0012367532046832427,0.9720340834607825
2100185.0,2200185.0,0.0025426905456059643,0.00261303160720067,0.0027426072469803916,0.9835744835744833
2200185.0,2300185.0,0.001470683511499844,0.0015299180896848595,0.0016483872460548903,0.9798615481434866
2300185.0,2400185.0,0.002947151649775561,0.003109121199500212,0.0033175991485029427,0.9692235220224543
2400185.0,2500185.0,0.0026488962932111216,0.002848812994585549,0.003176454255171416,0.9552760307477282
2500185.0,2600185.0,0.002906659262344395,0.003025128418714426,0.0032028321532694727,0.9592421588918962
2600185.0,2700185.0,0.0012034337544541683,0.0012626683326391838,0.0013811374890092146,0.9753893482022689
2700185.0,2800185.0,0.0016562543384700875,0.001715488916655103,0.0018339580730251338,0.9821179100307349
2800185.0,2900185.0,0.0013404137165070101,0.0013996482946920256,0.0015181174510620564,0.9779043673398929
2900185.0,3000185.0,0.0032553565643944735,0.0034922948771345355,0.003966171502614659,0.9636079323334993
3000185.0,3100185.0,0.003121615993336115,0.0033437456615299233,0.003774121893655426,0.9620487732562449
3100185.0,3200185.0,0.0014362071359155968,0.0014954417141006123,0.0016139108704706431,0.9793781214757533
3200185.0,3300185.0,0.00138321995464853,0.0014424545328335454,0.0015609236892035762,0.9785881565741051
3300185.0,3400185.0,0.0026880003702160807,0.0028962469341477755,0.0032016752279142623,0.9612636653180678
3400185.0,3500185.0,0.002799065204313019,0.002889536767087789,0.0030376232125503277,0.9781350748119368
3500185.0,3600185.0,0.0011509093433291727,0.0012360590494701325,0.0013804433337961078,0.9468234821069564
3600185.0,3700185.0,0.0011243000601601247,0.0011835346383451402,0.001302003794715171,0.9736571310969336
3700185.0,3800185.0,0.0012089869961590123,0.0013718820861678047,0.001571798787542232,0.9020095693779908
3800185.0,3900185.0,0.0020225369059188327,0.002148873154704061,0.00237725021981582,0.9613316554170004
3900185.0,4000185.0,0.0018589476606969309,0.0019477995279744541,0.002095885973436993,0.964152352501867
4000185.0,4100185.0,0.0012858068397427027,0.0013450414179277182,0.001463510574297749,0.9769659888429009
4100185.0,4200185.0,0.002861539173492526,0.002981859410430839,0.0031521588227127586,0.9726692002910974
4200185.0,4300185.0,0.0019878291452635477,0.002047063723448563,0.0021655328798185942,0.9851006867652194
4300185.0,4400185.0,0.002257392753019578,0.0023166273312045936,0.0024350964875746246,0.986879868798688
4400185.0,4500185.0,0.0012418436762460133,0.0013195890601138461,0.0014565690221666945,0.9589155953046397
4500185.0,4600185.0,0.001870285529177664,0.0019295201073626796,0.0020479892637327106,0.9841642954348634
4600185.0,4700185.0,0.0012642880281364321,0.0013235226063214476,0.0014419917626914784,0.9765739385065887
4700185.0,4800185.0,0.0014401406821231936,0.001514183904854463,0.0016474617057707479,0.9678663239074552
4800185.0,4900185.0,0.001219862094497669,0.0012790966726826845,0.0013975658290527153,0.9757207890743552
4900185.0,5000185.0,0.0012161599333611018,0.0012790966726826808,0.0014012679901892753,0.9725076103500762
5000185.0,5100185.0,0.0014167707899486353,0.0014871118515433412,0.0016166874913230624,0.9705209864445533
5100185.0,5200185.0,0.0028043870609468346,0.002878430283678104,0.0030117080845943884,0.9834983498349835
5200185.0,5300185.0,0.003006848998102647,0.003221574344023328,0.003588551066685182,0.9606002308580224
5300185.0,5400185.0,0.001476468138275723,0.0015357027164607385,0.0016541718728307693,0.9799404482056104
5400185.0,5500185.0,0.0011957980471100076,0.00126243694756815,0.0013883104262113078,0.968653250773994
5500185.0,5600185.0,0.002889305382016763,0.003037391827479301,0.0032299042065806016,0.9589973572515418
5600185.0,5700185.0,0.0019667731037993443,0.00202600768198436,0.002144476838354391,0.9849411764705882
5700185.0,5800185.0,0.0029013374057105814,0.003062381415151092,0.003307649590448422,0.9664646303532978
5800185.0,5900185.0,0.0019211902448054072,0.002039659401175438,0.0022173631357304846,0.9383355413705889
5900185.0,6000185.0,0.0016171502614651364,0.0016911934841964057,0.0018244712851126907,0.971383602804407
6000185.0,6100185.0,0.002797676893886808,0.0030272108843537432,0.0033187560738581166,0.9576544537259118
6100185.0,6200185.0,0.001987366375121479,0.0020466009533064945,0.0021650701096765255,0.985097217371056
6200185.0,6300185.0,0.0013364801702994205,0.001395714748484436,0.0015141839048544669,0.9778393351800555
6300185.0,6400185.0,0.0032231940395203826,0.0034601323522604446,0.003934008977740568,0.9632447954055973
6400185.0,6500185.0,0.001433661900134211,0.0014928964783192265,0.0016113656346892573,0.9793415106520337
6500185.0,6600185.0,0.003066777731500772,0.003303716044240834,0.0037775926697209577,0.9613701524068207
6600185.0,6700185.0,0.0015056226572261566,0.001579665879957426,0.001712943680873711,0.9692638696788075
6700185.0,6800185.0,0.003054745707806933,0.003291684020546995,0.0037211347123883576,0.9612179972731404
6800185.0,6900185.0,0.0024596233051043625,0.002518857883289378,0.002637327039659409,0.987958607714017
6900185.0,7000185.0,0.002979776944791523,0.0032264334305150645,0.003474478226664817,0.9347336542941451
7000185.0,7100185.0,0.0015551390624276942,0.0016143736406127097,0.0017328427969827405,0.9809552149977682
7100185.0,7200185.0,0.0030026840668240153,0.0032396223795640774,0.0035357952704891545,0.9605455806426756
7200185.0,7300185.0,0.002958258133185251,0.0032692396686565825,0.0035431995927622793,0.9310129057489247
7300185.0,7400185.0,0.0029115183488361367,0.003141052339303072,0.0035929473830348503,0.9593101804021299
7400185.0,7500185.0,0.0012372159748253138,0.0012964505530103294,0.0014149197093803602,0.976061342809052
7500185.0,7600185.0,0.0029790827895784175,0.0032160211023184795,0.003689897727798603,0.9602330097087378
7600185.0,7700185.0,0.0012506363089453546,0.0013098708871303701,0.001428340043500401,0.9763182238667901
7700185.0,7800185.0,0.00220093479568699,0.0022601693738720056,0.0023786385302420367,0.9865433137089992
7800185.0,7900185.0,0.0014010366051182453,0.0014602711833032608,0.0015787403396732916,0.9788604459124691
7900185.0,8000185.0,0.0022317090101346693,0.0022909435883196848,0.002409412744689716,0.9867288750648004
8000185.0,8100185.0,0.0026086352908509876,0.002819195705493035,0.003129714470822296,0.9456714564484646
