window_start,window_stop,n_variants,fst,fst_wc,dxy,da
185.0,100185.0,970,0.017059339580035353,0.017059339580035332,0.0003321666036001946,5.666542887962716e-06
10185.0,110185.0,781,0.02198998710197119,0.021989987101971167,0.0003892059748427673,8.558634366802574e-06
20185.0,120185.0,735,0.022637946575470167,0.02263794657547015,0.0003874305733572589,8.770632621365446e-06
30185.0,130185.0,814,0.02129044674756758,0.021290446747567558,0.00038766615644888423,8.253585659709118e-06
40185.0,140185.0,843,0.0207166872969371,0.02071668729693708,0.000321100052042675,6.652129369198327e-06
50185.0,150185.0,809,0.01905602221741589,0.019056022217415865,0.00033033300478738385,6.294833078374155e-06
60185.0,160185.0,815,0.019677036869741985,0.019677036869741968,0.0002936460884134553,5.778084908367039e-06
70185.0,170185.0,720,0.020563666568919052,0.020563666568919035,0.000280395115446698,5.765951661599491e-06
80185.0,180185.0,688,0.014165492968624906,0.014165492968624885,0.0002441732998184611,3.4588351617043445e-06
90185.0,190185.0,643,0.015421061331188892,0.015421061331188883,0.00023000650459386942,3.5469444139144203e-06
100185.0,200185.0,589,0.008317574795484515,0.00831757479548452,0.0001747890457195459,1.4538209612036958e-06
110185.0,210185.0,585,0.004156305234758634,0.00415630523475865,0.0001793471074380165,7.454213214834252e-07
120185.0,220185.0,524,0.005572258090774837,0.005572258090774844,0.00020185766349463453,1.1248029985929007e-06
130185.0,230185.0,430,0.014183953841679994,0.014183953841680008,0.0002572342793544797,3.648599144861779e-06
140185.0,240185.0,419,0.01545251368811175,0.015452513688111754,0.00042918050941306764,6.631917696376249e-06
150185.0,250185.0,459,0.013972327890363455,0.01397232789036345,0.0005239160948222084,7.320327463894594e-06
160185.0,260185.0,465,0.013889232018737464,0.013889232018737457,0.0006445583887657059,8.95242101119042e-06
170185.0,270185.0,463,0.013921266096177658,0.01392126609617765,0.0006535186553380125,9.097807099776683e-06
180185.0,280185.0,446,0.013675635301672399,0.013675635301672392,0.0007196837860780985,9.842132990930805e-06
190185.0,290185.0,449,0.012890795632080416,0.012890795632080405,0.0005104152823920266,6.579659092806306e-06
200185.0,300185.0,484,0.013240172963632519,0.013240172963632503,0.000749183803264787,9.919323136777814e-06
210185.0,310185.0,474,0.020525487509304614,0.020525487509304597,0.0008368003431267425,1.7175734990629818e-05
220185.0,320185.0,505,0.02438333841550257,0.024383338415502553,0.000855363389040031,2.0856614983194162e-05
230185.0,330185.0,555,0.019184352256598515,0.0191843522565985,0.000659977460555973,1.2661240084721136e-05
240185.0,340185.0,540,0.018379126967959063,0.01837912696795905,0.0006988624052004333,1.2844480878312035e-05
