test,mean,variance,n_reps
Tajima's D (Achaz),-0.10373137218864287,0.7923273933334896,1000
H* (Achaz),0.034838141927922645,0.7732138243931053,1000
Zeng E (Achaz),-0.12701485344970825,0.8120590849397299,1000
Zeng E (classical),-0.22202513925233794,6.568940069290467,1000
